AAO,Adverse Assumption Obstacle
Adverse Assumption Obstacle,AAO
AAR,Adapted arrival route
Adapted arrival route,AAR
AAR,Airport arrival rate
Airport arrival rate,AAR
AC,Advisory Circular
Advisory Circular,AC
ACC,Area Control Center
Area Control Center,ACC
ACE−IDS,ASOS Controller Equipment− Information Display System
ASOS Controller Equipment− Information Display System,ACE−IDS
ACL,Aircraft list
Aircraft list,ACL
ACLS,Automatic Carrier Landing System
Automatic Carrier Landing System,ACLS
ADAR,Adapted departure arrival route
Adapted departure arrival route,ADAR
ADC,Aerospace Defense Command
Aerospace Defense Command,ADC
ADIZ,Air Defense Identification Zone (to be pronounced “AY DIZ”)
Air Defense Identification Zone (to be pronounced “AY DIZ”),ADIZ
ADR,Adapted departure route
Adapted departure route,ADR
ADS,Automatic Dependent Surveillance
Automatic Dependent Surveillance,ADS
ADS−B,Automatic Dependent Surveillance−Broadcast
Automatic Dependent Surveillance−Broadcast,ADS−B
ADS−C,Automatic Dependent Surveillance−Contract
Automatic Dependent Surveillance−Contract,ADS−C
AFP,Airspace Flow Program
Airspace Flow Program,AFP
AIDC,ATS Interfacility Data Communications
ATS Interfacility Data Communications,AIDC
AIM,Aeronautical Information Manual
Aeronautical Information Manual,AIM
AIRMET,Airmen’s meteorological information
Airmen’s meteorological information,AIRMET
ALDARS,Automated Lightning Detection and Reporting System
Automated Lightning Detection and Reporting System,ALDARS
ALERFA,Alert phase code (Alerting Service)
Alert phase code (Alerting Service),ALERFA
ALNOT,Alert notice
Alert notice,ALNOT
ALS,Approach Light System
Approach Light System,ALS
ALTRV,Altitude reservation
Altitude reservation,ALTRV
AM,Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by MEARTS and another facility’s computer declared position during interfacility handoff
Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by MEARTS and another facility’s computer declared position during interfacility handoff,AM
AMASS,Airport Movement Area Safety System
Airport Movement Area Safety System,AMASS
AMB,Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by STARS and another facility’s computer declared position during interfacility handoff
Ambiguity−A disparity greater than a locally adapted distance exists between the position declared for a target by STARS and another facility’s computer declared position during interfacility handoff,AMB
AMVER,Automated Mutual Assistance Vessel Rescue System
Automated Mutual Assistance Vessel Rescue System,AMVER
ANG,Air National Guard
Air National Guard,ANG
APR,ATC preferred route
ATC preferred route,APR
APREQ,Approval Request
Approval Request,APREQ
ARAC,Army Radar Approach Control facility (US Army)
Army Radar Approach Control facility (US Army),ARAC
ARINC,Aeronautical Radio Incorporated
Aeronautical Radio Incorporated,ARINC
ARIP,Air refueling initial point
Air refueling initial point,ARIP
ARSR,Air route surveillance radar
Air route surveillance radar,ARSR
ARTCC,Air Route Traffic Control Center
Air Route Traffic Control Center,ARTCC
ASD,Aircraft Situation Display
Aircraft Situation Display,ASD
ASDE,Airport surface detection equipment
Airport surface detection equipment,ASDE
ASDE−X,Airport Surface Detection Equipment System − Model X
Airport Surface Detection Equipment System − Model X,ASDE−X
ASF,Airport Stream Filters
Airport Stream Filters,ASF
ASOS,Automated Surface Observing System
Automated Surface Observing System,ASOS
ASR,Airport surveillance radar
Airport surveillance radar,ASR
ASSC,Airport Surface Surveillance Capability
Airport Surface Surveillance Capability,ASSC
ATC,Air traffic control
Air traffic control,ATC
ATCAA,ATC assigned airspace
ATC assigned airspace,ATCAA
ATCSCC,David J. Hurley Air Traffic Control System Command Center
David J. Hurley Air Traffic Control System Command Center,ATCSCC
ATD,Along−Track Distance
Along−Track Distance,ATD
ATIS,Automatic Terminal Information Service
Automatic Terminal Information Service,ATIS
ATO,Air Traffic Organization
Air Traffic Organization,ATO
ATO COO,Air Traffic Organization Chief Operating Officer
Air Traffic Organization Chief Operating Officer,ATO COO
ATOP,Advanced Technologies and Oceanic Procedures
Advanced Technologies and Oceanic Procedures,ATOP
ATS,Air Traffic Service
Air Traffic Service,ATS
AWOS,Automated Weather Observing System
Automated Weather Observing System,AWOS
BASE,Cloud base
Cloud base,BASE
CA,Conflict Alert
Conflict Alert,CA
CAA,Confirm assigned altitude
Confirm assigned altitude,CAA
CARCAH,"Chief, Aerial Reconnaissance Coordination, All Hurricanes"
"Chief, Aerial Reconnaissance Coordination, All Hurricanes",CARCAH
CARF,Central Altitude Reservation Function
Central Altitude Reservation Function,CARF
CAT,Clear air turbulence
Clear air turbulence,CAT
CDT,Controlled departure time
Controlled departure time,CDT
CEP,Central East Pacific
Central East Pacific,CEP
CERAP,Combined Center/RAPCON
Combined Center/RAPCON,CERAP
CFR,Code of Federal Regulations
Code of Federal Regulations,CFR
CFR,Call for Release
Call for Release,CFR
CIC,Controller−in−Charge
Controller−in−Charge,CIC
CNS,Continuous
Continuous,CNS
CPDLC,Controller Pilot Data Link Communications
Controller Pilot Data Link Communications,CPDLC
CPME,Calibration Performance Monitor Equipment
Calibration Performance Monitor Equipment,CPME
CTA,Control Area
Control Area,CTA
CTRD,Certified Tower Radar Display
Certified Tower Radar Display,CTRD
CVFP,Charted Visual Flight Procedure
Charted Visual Flight Procedure,CVFP
CWA,Center Weather Advisory
Center Weather Advisory,CWA
DCL,Departure Clearance
Departure Clearance,DCL
DETRESFA,Distress Phase code (Alerting Service)
Distress Phase code (Alerting Service),DETRESFA
DH,Decision height
Decision height,DH
DL,Departure List
Departure List,DL
DME,Distance measuring equipment compatible with TACAN
Distance measuring equipment compatible with TACAN,DME
DOE,Department of Energy
Department of Energy,DOE
DP,Instrument Departure Procedure
Instrument Departure Procedure,DP
DR,Dead reckoning
Dead reckoning,DR
DRT,Diversion recovery tool
Diversion recovery tool,DRT
DSR,Display System Replacement
Display System Replacement,DSR
DTAS,Digital Terminal Automation Systems
Digital Terminal Automation Systems,DTAS
DTM,Digital Terrain Map
Digital Terrain Map,DTM
DVFR,Defense Visual Flight Rules
Defense Visual Flight Rules,DVFR
DVRSN,Diversion
Diversion,DVRSN
EA,Electronic Attack
Electronic Attack,EA
EAM,Emergency Altitude Map
Emergency Altitude Map,EAM
EAS,En Route Automation System
En Route Automation System,EAS
EDCT,Expect Departure Clearance Time
Expect Departure Clearance Time,EDCT
EDST,En Route Decision Support Tool
En Route Decision Support Tool,EDST
EFC,Expect further clearance
Expect further clearance,EFC
EFVS,Enhanced Flight Vision System
Enhanced Flight Vision System,EFVS
ELDB,Enhanced Limited Data Block
Enhanced Limited Data Block,ELDB
ELP,Emergency Landing Pattern
Emergency Landing Pattern,ELP
ELT,Emergency locator transmitter
Emergency locator transmitter,ELT
EoR,Established on RNP
Established on RNP,EoR
EOVM,Emergency obstruction video map
Emergency obstruction video map,EOVM
EOS,End Service
End Service,EOS
ERAM,En Route Automation Modernization
En Route Automation Modernization,ERAM
ERIDS,En Route Information Display System
En Route Information Display System,ERIDS
ERT,Embedded route text
Embedded route text,ERT
ETA,Estimated time of arrival
Estimated time of arrival,ETA
FAA,Federal Aviation Administration
Federal Aviation Administration,FAA
FANS,Future Air Navigation System
Future Air Navigation System,FANS
FDB,Full Data Block
Full Data Block,FDB
FDIO,Flight Data Input/Output
Flight Data Input/Output,FDIO
FDP,Flight data processing
Flight data processing,FDP
FICON,Field Condition
Field Condition,FICON
FIR,Flight Information Region
Flight Information Region,FIR
FL,Flight level
Flight level,FL
FLIP,Flight Information Publication
Flight Information Publication,FLIP
FLY,Fly or flying
Fly or flying,FLY
FMS,Flight Management System
Flight Management System,FMS
FSM,Flight Schedule Monitor
Flight Schedule Monitor,FSM
FSS,Flight Service Station
Flight Service Station,FSS
GCA,Ground controlled approach
Ground controlled approach,GCA
GNSS,Global Navigation Satellite System
Global Navigation Satellite System,GNSS
GPD,Graphics Plan Display
Graphics Plan Display,GPD
GPS,Global Positioning System
Global Positioning System,GPS
GS,Ground stop
Ground stop,GS
HF/RO,High Frequency/Radio Operator
High Frequency/Radio Operator,HF/RO
HIRL,High intensity runway lights
High intensity runway lights,HIRL
IAFDOF,Inappropriate Altitude for Direction of Flight
Inappropriate Altitude for Direction of Flight,IAFDOF
IC,Initial contact
Initial contact,IC
ICAO,International Civil Aviation Organization
International Civil Aviation Organization,ICAO
IDENT,Aircraft identification
Aircraft identification,IDENT
IDS,Information Display System
Information Display System,IDS
IFR,Instrument flight rules
Instrument flight rules,IFR
IFSS,International Flight Service Station
International Flight Service Station,IFSS
ILS,Instrument Landing System
Instrument Landing System,ILS
INCERFA,Uncertainty Phase code (Alerting Service)
Uncertainty Phase code (Alerting Service),INCERFA
INREQ,Information request
Information request,INREQ
INS,Inertial Navigation System
Inertial Navigation System,INS
IR,IFR military training route
IFR military training route,IR
IRU,Inertial Reference Unit
Inertial Reference Unit,IRU
ISR,Increased Separation Required
Increased Separation Required,ISR
ITWS,Integrated Terminal Weather System
Integrated Terminal Weather System,ITWS
JATO,Jet assisted takeoff
Jet assisted takeoff,JATO
LAHSO,Land and Hold Short Operations
Land and Hold Short Operations,LAHSO
LOA,Letter of Agreement
Letter of Agreement,LOA
LLWAS,Low Level Wind Shear Alert System
Low Level Wind Shear Alert System,LLWAS
LLWAS NE,Low Level Wind Shear Alert System Network Expansion
Low Level Wind Shear Alert System Network Expansion,LLWAS NE
LLWAS−RS,Low Level Wind Shear Alert System Relocation/Sustainment
Low Level Wind Shear Alert System Relocation/Sustainment,LLWAS−RS
L/MF,Low/medium frequency
Low/medium frequency,L/MF
LORAN,Long Range Navigation System
Long Range Navigation System,LORAN
Mach,Mach number
Mach number,Mach
MALS,Medium Intensity Approach Light System
Medium Intensity Approach Light System,MALS
MALSR,Medium Approach Light System with runway alignment indicator lights
Medium Approach Light System with runway alignment indicator lights,MALSR
MAP,Missed approach point
Missed approach point,MAP
MARSA,Military authority assumes responsibility for separation of aircraft
Military authority assumes responsibility for separation of aircraft,MARSA
MCA,Minimum crossing altitude
Minimum crossing altitude,MCA
MCI,Mode C Intruder
Mode C Intruder,MCI
MDA,Minimum descent altitude
Minimum descent altitude,MDA
MDM,Main display monitor
Main display monitor,MDM
MEA,Minimum en route (IFR) altitude
Minimum en route (IFR) altitude,MEA
MEARTS,Micro En Route Automated Radar Tracking System
Micro En Route Automated Radar Tracking System,MEARTS
METAR,Aviation Routine Weather Report
Aviation Routine Weather Report,METAR
MIA,Minimum IFR altitude
Minimum IFR altitude,MIA
MIAWS,Medium Intensity Airport Weather System
Medium Intensity Airport Weather System,MIAWS
MIRL,Medium intensity runway lights
Medium intensity runway lights,MIRL
MNPS,Minimum Navigation Performance Specification
Minimum Navigation Performance Specification,MNPS
MNT,Mach Number Technique
Mach Number Technique,MNT
MOA,Military operations area
Military operations area,MOA
MOCA,Minimum obstruction clearance altitude
Minimum obstruction clearance altitude,MOCA
MRA,Minimum reception altitude
Minimum reception altitude,MRA
MSAW,Minimum Safe Altitude Warning
Minimum Safe Altitude Warning,MSAW
MSL,Mean sea level
Mean sea level,MSL
MTI,Moving target indicator
Moving target indicator,MTI
MTR,Military training route
Military training route,MTR
MVA,Minimum vectoring altitude
Minimum vectoring altitude,MVA
NADIN,National Airspace Data Interchange Network
National Airspace Data Interchange Network,NADIN
NAR,National Automation Request
National Automation Request,NAR
NAS,National Airspace System
National Airspace System,NAS
NAT,ICAO North Atlantic Region
ICAO North Atlantic Region,NAT
NAT HLA,North Atlantic High Level Airspace
North Atlantic High Level Airspace,NAT HLA
NBCAP,National Beacon Code Allocation Plan
National Beacon Code Allocation Plan,NBCAP
NDB,Nondirectional radio beacon
Nondirectional radio beacon,NDB
NHOP,National Hurricane Operations Plan
National Hurricane Operations Plan,NHOP
NM,Nautical mile
Nautical mile,NM
NOAA,National Oceanic and Atmospheric Administration
National Oceanic and Atmospheric Administration,NOAA
NOPAC,North Pacific
North Pacific,NOPAC
NORAD,North American Aerospace Defense Command
North American Aerospace Defense Command,NORAD
NOS,National Ocean Service
National Ocean Service,NOS
NOTAM,Notice to Airmen
Notice to Airmen,NOTAM
NOWGT,No weight. The weight class or wake category has not been determined
No weight. The weight class or wake category has not been determined,NOWGT
NRP,North American Route Program
North American Route Program,NRP
NRR,Nonrestrictive Route
Nonrestrictive Route,NRR
NRS,Navigation Reference System
Navigation Reference System,NRS
NTZ,No transgression zone
No transgression zone,NTZ
NWS,National Weather Service
National Weather Service,NWS
NWSOP,National Winter Season Operations Plan
National Winter Season Operations Plan,NWSOP
ODALS,Omnidirectional Approach Lighting System
Omnidirectional Approach Lighting System,ODALS
ODP,Obstacle Departure Procedure
Obstacle Departure Procedure,ODP
OID,Operator Interface Device
Operator Interface Device,OID
OMIC,Operations Manager-in-Charge
Operations Manager-in-Charge,OMIC
OS,Operations Supervisor
Operations Supervisor,OS
OTR,Oceanic transition route
Oceanic transition route,OTR
PAPI,Precision Approach Path Indicators
Precision Approach Path Indicators,PAPI
PAR,Precision approach radar
Precision approach radar,PAR
PBCT,Proposed boundary crossing time
Proposed boundary crossing time,PBCT
P/CG,Pilot/Controller Glossary
Pilot/Controller Glossary,P/CG
PDC,Pre-Departure Clearance
Pre-Departure Clearance,PDC
PID,Pilot initiated downlink
Pilot initiated downlink,PID
PIREP,Pilot Weather Report
Pilot Weather Report,PIREP
PPI,Plan position indicator
Plan position indicator,PPI
PTP,Point-to-point
Point-to-point,PTP
PVD,Plan view display
Plan view display,PVD
RA,Radar Associate
Radar Associate,RA
RAIL,Runway alignment indicator lights
Runway alignment indicator lights,RAIL
RAPCON,"Radar Approach Control facility (USAF, USN, and USMC)"
"Radar Approach Control facility (USAF, USN, and USMC)",RAPCON
RATCF,Radar Air Traffic Control Facility (USN and USMC)
Radar Air Traffic Control Facility (USN and USMC),RATCF
RBS,Radar bomb scoring
Radar bomb scoring,RBS
RCC,Rescue Coordination Center
Rescue Coordination Center,RCC
RCLS,Runway Centerline System
Runway Centerline System,RCLS
RCR,Runway condition reading
Runway condition reading,RCR
RE,"Recent (used to qualify weather phenomena such as rain, e.g., recent rain = RERA)"
"Recent (used to qualify weather phenomena such as rain, e.g., recent rain = RERA)",RE
REIL,Runway end identifier lights
Runway end identifier lights,REIL
RF,Radius−to−Fix
Radius−to−Fix,RF
RNAV,Area navigation
Area navigation,RNAV
RNP,Required Navigation Performance
Required Navigation Performance,RNP
RTQC,Real−Time Quality Control
Real−Time Quality Control,RTQC
RVR,Runway visual range
Runway visual range,RVR
RVSM,Reduced Vertical Separation Minimum
Reduced Vertical Separation Minimum,RVSM
RwyCC,Runway Condition Codes
Runway Condition Codes,RwyCC
RwyCR,Runway Condition Report
Runway Condition Report,RwyCR
SAA,Special Activity Airspace
Special Activity Airspace,SAA
SAR,Search and rescue
Search and rescue,SAR
SATCOM,Satellite Communication
Satellite Communication,SATCOM
SDP,Surveillance Data Processing
Surveillance Data Processing,SDP
SELCAL,Selective Calling System
Selective Calling System,SELCAL
SFA,Single frequency approach
Single frequency approach,SFA
SFO,Simulated flameout
Simulated flameout,SFO
SID,Standard Instrument Departure
Standard Instrument Departure,SID
SIGMET,Significant meteorological information
Significant meteorological information,SIGMET
SPA,Special Posting Area
Special Posting Area,SPA
SPECI,Nonroutine (Special) Aviation Weather Report
Nonroutine (Special) Aviation Weather Report,SPECI
STAR,Standard terminal arrival
Standard terminal arrival,STAR
STARS,Standard Terminal Automation Replacement System
Standard Terminal Automation Replacement System,STARS
STMC,Supervisory Traffic Management Coordinator
Supervisory Traffic Management Coordinator,STMC
STMCIC,Supervisory Traffic Management Coordinator-in-charge
Supervisory Traffic Management Coordinator-in-charge,STMCIC
STOL,Short takeoff and landing
Short takeoff and landing,STOL
SURPIC,Surface Picture
Surface Picture,SURPIC
SVFR,Special Visual Flight Rules
Special Visual Flight Rules,SVFR
TAA,Terminal arrival area
Terminal arrival area,TAA
TAC,Trajectory altering clearance
Trajectory altering clearance,TAC
TAS,Terminal Automation Systems
Terminal Automation Systems,TAS
TACAN,TACAN UHF navigational aid (omnidirectional course and distance information)
TACAN UHF navigational aid (omnidirectional course and distance information),TACAN
TAWS,Terrain Awareness Warning System
Terrain Awareness Warning System,TAWS
TCAS,Traffic Alert and Collision Avoidance System
Traffic Alert and Collision Avoidance System,TCAS
TCDD,Tower cab digital display
Tower cab digital display,TCDD
TDLS,Terminal Data Link System
Terminal Data Link System,TDLS
TDW,Tower display workstation
Tower display workstation,TDW
TDWR,Terminal Doppler Weather Radar
Terminal Doppler Weather Radar,TDWR
TDZL,Touchdown Zone Light System
Touchdown Zone Light System,TDZL
TF,Track-to-Fix
Track-to-Fix,TF
TFMS,Traffic Flow Management System
Traffic Flow Management System,TFMS
TMC,Traffic Management Coordinator
Traffic Management Coordinator,TMC
TMU,Traffic Management Unit
Traffic Management Unit,TMU
TO,Technical Operations
Technical Operations,TO
TOC,Transfer of communication
Transfer of communication,TOC
TRACON,Terminal Radar Approach Control
Terminal Radar Approach Control,TRACON
TRSA,Terminal radar service area
Terminal radar service area,TRSA
UAP,Unidentified anomalous phenomena
Unidentified anomalous phenomena,UAP
UHF,Ultra high frequency
Ultra high frequency,UHF
USA,United States Army
United States Army,USA
USAF,United States Air Force
United States Air Force,USAF
USN,United States Navy
United States Navy,USN
UTC,Coordinated universal time
Coordinated universal time,UTC
UTM,Unsuccessful transmission message
Unsuccessful transmission message,UTM
UUA,Urgent pilot weather report
Urgent pilot weather report,UUA
VCI,Voice Communication Indicator
Voice Communication Indicator,VCI
VFR,Visual flight rules
Visual flight rules,VFR
VHF,Very high frequency
Very high frequency,VHF
VMC,Visual meteorological conditions
Visual meteorological conditions,VMC
VNAV,Vertical Navigation
Vertical Navigation,VNAV
VOR,VHF navigational aid (omnidirectional course information)
VHF navigational aid (omnidirectional course information),VOR
VOR/DME,Collocated VOR and DME navigational aids (VHF course and UHF distance information)
Collocated VOR and DME navigational aids (VHF course and UHF distance information),VOR/DME
VORTAC,Collocated VOR and TACAN navigation aids (VHF and UHF course and UHF distance information)
Collocated VOR and TACAN navigation aids (VHF and UHF course and UHF distance information),VORTAC
VR,VFR military training route
VFR military training route,VR
VSCS,Voice Switching and Control System
Voice Switching and Control System,VSCS
WAAS,Wide Area Augmentation System
Wide Area Augmentation System,WAAS
WATRS,West Atlantic Route System
West Atlantic Route System,WATRS
WRA,Weather Reconnaissance Area
Weather Reconnaissance Area,WRA
WSO,Weather Service Office
Weather Service Office,WSO
WSP,Weather System Processor
Weather System Processor,WSP
WST,Convective SIGMET
Convective SIGMET,WST
